Candidate ID|Total Contributions|Z Value of Total|Minimum Contribution|Maximum Contribution|Median Contribution|Mean Contribution|Stdev of Contributions
H8OH01043|479828.00|-0.0529|-2500.00|5000.00|1000.00|1272.75|1137.38
S2NE00110|4049.00|-0.0972|49.00|2000.00|2000.00|1349.67|919.71
H8MS01061|-2609.00|-0.0978|-1000.00|391.00|-1000.00|-652.25|602.32
H2GU00033|33905.00|-0.0944|-100.00|5000.00|1000.00|1412.71|1184.51
H2IN05074|1500.00|-0.0974|1500.00|1500.00|1500.00|1500.00|0.00
H8CA05035|1035598.00|-0.0011|-5000.00|5000.00|2500.00|2563.36|1792.18
H2TX13075|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H0IN09088|18260.00|-0.0959|18260.00|18260.00|18260.00|18260.00|0.00
S2HI00106|1960776.00|0.0851|-5000.00|310000.00|1500.00|3624.35|17793.01
H8MI07096|-4500.00|-0.0980|-5000.00|1000.00|1000.00|-450.00|2317.87
H2NY11017|450591.00|-0.0556|-5000.00|5000.00|1000.00|1291.09|1269.29
H4NE01064|260877.00|-0.0733|-1000.00|5000.00|1000.00|1278.81|965.63
H0WA04060|9837.00|-0.0966|-500.00|5000.00|900.00|1229.62|1658.09
S4LA00065|2500.00|-0.0973|2500.00|2500.00|2500.00|2500.00|0.00
H2PA07070|108141.00|-0.0875|10.00|5000.00|1500.00|2079.63|1707.37
H8CO02137|108353.00|-0.0875|-5000.00|59797.00|300.00|1693.02|8383.61
H2TX23124|3510995.00|0.2295|-5000.00|458844.00|2000.00|11942.16|44132.40
S0OH00158|2191.00|-0.0974|2191.00|2191.00|2191.00|2191.00|0.00
H2OH03117|8800.00|-0.0967|250.00|2000.00|600.00|880.00|609.18
H6NY00060|52671.00|-0.0926|10.00|21674.00|5000.00|6583.88|6978.71
H2CT05180|3850.00|-0.0972|100.00|2000.00|500.00|770.00|686.73
S6IL00151|418987.00|-0.0585|-3000.00|5000.00|1000.00|1669.27|1272.93
S6DE00131|6790.00|-0.0969|-5.00|5000.00|1795.00|2263.33|2069.94
H2SD00134|173052.00|-0.0814|52.00|100000.00|2500.00|5967.31|17869.95
H6AL04098|599779.00|-0.0417|-3000.00|5000.00|1000.00|1599.41|1197.85
H2FL01191|1000.00|-0.0975|1000.00|1000.00|1000.00|1000.00|0.00
S2CT00132|3642587.00|0.2418|-25000.00|169910.00|2000.00|3985.32|12098.21
H0FL24023|22550.00|-0.0955|-2500.00|5000.00|1000.00|1025.00|2107.87
H8MO09153|613355.00|-0.0404|-5000.00|5000.00|1000.00|1552.80|1316.09
H6NJ13191|323592.00|-0.0674|-4000.00|6749.00|1000.00|1444.61|1235.12
H4TX04039|119221.00|-0.0864|-2500.00|5000.00|1000.00|1295.88|1257.57
H0TX18235|250.00|-0.0975|250.00|250.00|250.00|250.00|0.00
H2TX25293|310.00|-0.0975|310.00|310.00|310.00|310.00|0.00
H2WA01179|68600.00|-0.0912|-1500.00|5000.00|1000.00|1715.00|1448.37
